route_id,service_id,trip_id,trip_headsign,direction_id,shape_id,brigade_id,vehicle_id,variant_id
A,3,3_13404996,"Zajezdnia Obornicka",0,837732,2,1,837732
A,3,3_13405011,"Zajezdnia Obornicka",0,837732,3,1,837732
A,3,3_13405042,"Zajezdnia Obornicka",0,837732,5,1,837732
A,3,3_13404856,"KOSZAROWA (Szpital)",1,838672,22,1,838672
A,3,3_13404967,"KOSZAROWA (Szpital)",1,838672,1,2,838672
A,3,3_13404969,"KOSZAROWA (Szpital)",1,838672,1,2,838672
A,3,3_13404971,"KOSZAROWA (Szpital)",1,838672,1,2,838672
A,3,3_13404973,"KOSZAROWA (Szpital)",1,838672,1,2,838672
A,3,3_13404975,"KOSZAROWA (Szpital)",1,838672,1,2,838672
A,3,3_13404977,"KOSZAROWA (Szpital)",1,838672,1,2,838672
A,3,3_13404979,"KOSZAROWA (Szpital)",1,838672,1,2,838672
A,3,3_13404985,"KOSZAROWA (Szpital)",1,838672,2,1,838672
A,3,3_13404987,"KOSZAROWA (Szpital)",1,838672,2,1,838672
A,3,3_13404989,"KOSZAROWA (Szpital)",1,838672,2,1,838672
A,3,3_13404991,"KOSZAROWA (Szpital)",1,838672,2,1,838672
A,3,3_13404993,"KOSZAROWA (Szpital)",1,838672,2,1,838672
A,3,3_13404995,"KOSZAROWA (Szpital)",1,838672,2,1,838672
A,3,3_13404998,"KOSZAROWA (Szpital)",1,838672,3,1,838672
A,3,3_13405000,"KOSZAROWA (Szpital)",1,838672,3,1,838672
A,3,3_13405002,"KOSZAROWA (Szpital)",1,838672,3,1,838672
A,3,3_13405004,"KOSZAROWA (Szpital)",1,838672,3,1,838672
A,3,3_13405006,"KOSZAROWA (Szpital)",1,838672,3,1,838672
A,3,3_13405008,"KOSZAROWA (Szpital)",1,838672,3,1,838672
A,3,3_13405010,"KOSZAROWA (Szpital)",1,838672,3,1,838672
A,3,3_13405013,"KOSZAROWA (Szpital)",1,838672,4,1,838672
A,3,3_13405015,"KOSZAROWA (Szpital)",1,838672,4,1,838672
A,3,3_13405017,"KOSZAROWA (Szpital)",1,838672,4,1,838672
A,3,3_13405019,"KOSZAROWA (Szpital)",1,838672,4,1,838672
A,3,3_13405021,"KOSZAROWA (Szpital)",1,838672,4,1,838672
A,3,3_13405023,"KOSZAROWA (Szpital)",1,838672,4,1,838672
A,3,3_13405025,"KOSZAROWA (Szpital)",1,838672,4,1,838672
A,3,3_13405029,"KOSZAROWA (Szpital)",1,838672,5,1,838672
A,3,3_13405031,"KOSZAROWA (Szpital)",1,838672,5,1,838672
A,3,3_13405033,"KOSZAROWA (Szpital)",1,838672,5,1,838672
A,3,3_13405035,"KOSZAROWA (Szpital)",1,838672,5,1,838672
A,3,3_13405037,"KOSZAROWA (Szpital)",1,838672,5,1,838672
A,3,3_13405039,"KOSZAROWA (Szpital)",1,838672,5,1,838672
A,3,3_13405041,"KOSZAROWA (Szpital)",1,838672,5,1,838672
A,3,3_13404756,"KRZYKI",0,838673,23,1,838673
A,3,3_13404855,"KRZYKI",0,838673,22,1,838673
A,3,3_13404968,"KRZYKI",0,838673,1,2,838673
A,3,3_13404970,"KRZYKI",0,838673,1,2,838673
A,3,3_13404972,"KRZYKI",0,838673,1,2,838673
A,3,3_13404974,"KRZYKI",0,838673,1,2,838673
A,3,3_13404976,"KRZYKI",0,838673,1,2,838673
A,3,3_13404978,"KRZYKI",0,838673,1,2,838673
A,3,3_13404980,"KRZYKI",0,838673,1,2,838673
A,3,3_13404984,"KRZYKI",0,838673,2,1,838673
A,3,3_13404986,"KRZYKI",0,838673,2,1,838673
A,3,3_13404988,"KRZYKI",0,838673,2,1,838673
A,3,3_13404990,"KRZYKI",0,838673,2,1,838673
A,3,3_13404992,"KRZYKI",0,838673,2,1,838673
A,3,3_13404994,"KRZYKI",0,838673,2,1,838673
A,3,3_13404999,"KRZYKI",0,838673,3,1,838673
A,3,3_13405001,"KRZYKI",0,838673,3,1,838673
A,3,3_13405003,"KRZYKI",0,838673,3,1,838673
A,3,3_13405005,"KRZYKI",0,838673,3,1,838673
A,3,3_13405007,"KRZYKI",0,838673,3,1,838673
A,3,3_13405009,"KRZYKI",0,838673,3,1,838673
A,3,3_13405014,"KRZYKI",0,838673,4,1,838673
A,3,3_13405016,"KRZYKI",0,838673,4,1,838673
A,3,3_13405018,"KRZYKI",0,838673,4,1,838673
A,3,3_13405020,"KRZYKI",0,838673,4,1,838673
A,3,3_13405022,"KRZYKI",0,838673,4,1,838673
A,3,3_13405024,"KRZYKI",0,838673,4,1,838673
A,3,3_13405026,"KRZYKI",0,838673,4,1,838673
A,3,3_13405030,"KRZYKI",0,838673,5,1,838673
A,3,3_13405032,"KRZYKI",0,838673,5,1,838673
A,3,3_13405034,"KRZYKI",0,838673,5,1,838673
A,3,3_13405036,"KRZYKI",0,838673,5,1,838673
A,3,3_13405038,"KRZYKI",0,838673,5,1,838673
A,3,3_13405040,"KRZYKI",0,838673,5,1,838673
A,3,3_13404807,"KRZYKI",0,838708,21,1,838708
A,3,3_13404757,"SOŁTYSOWICE",1,838710,23,1,838710
A,3,3_13405027,"Zajezdnia Obornicka",1,838712,4,1,838712
A,3,3_13404966,"KRZYKI",0,838713,1,2,838713
A,3,3_13404997,"KRZYKI",0,838713,3,1,838713
A,3,3_13405012,"KRZYKI",0,838713,4,1,838713
A,3,3_13405028,"KRZYKI",0,838713,5,1,838713
A,3,3_13404755,"KOSZAROWA (Szpital)",1,839078,23,1,839078
A,3,3_13404806,"KOSZAROWA (Szpital)",1,839078,21,1,839078
A,3,3_13404854,"KOSZAROWA (Szpital)",1,839078,22,1,839078
A,3,3_13404983,"KOSZAROWA (Szpital)",1,839078,2,1,839078
A,4,4_13409188,"Zajezdnia Obornicka",0,837732,2,1,837732
A,4,4_13409203,"Zajezdnia Obornicka",0,837732,3,1,837732
A,4,4_13409234,"Zajezdnia Obornicka",0,837732,5,1,837732
A,4,4_13409041,"KOSZAROWA (Szpital)",1,838672,22,1,838672
A,4,4_13409159,"KOSZAROWA (Szpital)",1,838672,1,2,838672
A,4,4_13409161,"KOSZAROWA (Szpital)",1,838672,1,2,838672
A,4,4_13409163,"KOSZAROWA (Szpital)",1,838672,1,2,838672
A,4,4_13409165,"KOSZAROWA (Szpital)",1,838672,1,2,838672
A,4,4_13409167,"KOSZAROWA (Szpital)",1,838672,1,2,838672
A,4,4_13409169,"KOSZAROWA (Szpital)",1,838672,1,2,838672
A,4,4_13409171,"KOSZAROWA (Szpital)",1,838672,1,2,838672
A,4,4_13409177,"KOSZAROWA (Szpital)",1,838672,2,1,838672
A,4,4_13409179,"KOSZAROWA (Szpital)",1,838672,2,1,838672
A,4,4_13409181,"KOSZAROWA (Szpital)",1,838672,2,1,838672
A,4,4_13409183,"KOSZAROWA (Szpital)",1,838672,2,1,838672
A,4,4_13409185,"KOSZAROWA (Szpital)",1,838672,2,1,838672
A,4,4_13409187,"KOSZAROWA (Szpital)",1,838672,2,1,838672
A,4,4_13409190,"KOSZAROWA (Szpital)",1,838672,3,1,838672
A,4,4_13409192,"KOSZAROWA (Szpital)",1,838672,3,1,838672
A,4,4_13409194,"KOSZAROWA (Szpital)",1,838672,3,1,838672
A,4,4_13409196,"KOSZAROWA (Szpital)",1,838672,3,1,838672
A,4,4_13409198,"KOSZAROWA (Szpital)",1,838672,3,1,838672
A,4,4_13409200,"KOSZAROWA (Szpital)",1,838672,3,1,838672
A,4,4_13409202,"KOSZAROWA (Szpital)",1,838672,3,1,838672
A,4,4_13409205,"KOSZAROWA (Szpital)",1,838672,4,1,838672
A,4,4_13409207,"KOSZAROWA (Szpital)",1,838672,4,1,838672
A,4,4_13409209,"KOSZAROWA (Szpital)",1,838672,4,1,838672
A,4,4_13409211,"KOSZAROWA (Szpital)",1,838672,4,1,838672
A,4,4_13409213,"KOSZAROWA (Szpital)",1,838672,4,1,838672
A,4,4_13409215,"KOSZAROWA (Szpital)",1,838672,4,1,838672
A,4,4_13409217,"KOSZAROWA (Szpital)",1,838672,4,1,838672
A,4,4_13409221,"KOSZAROWA (Szpital)",1,838672,5,1,838672
A,4,4_13409223,"KOSZAROWA (Szpital)",1,838672,5,1,838672
A,4,4_13409225,"KOSZAROWA (Szpital)",1,838672,5,1,838672
A,4,4_13409227,"KOSZAROWA (Szpital)",1,838672,5,1,838672
A,4,4_13409229,"KOSZAROWA (Szpital)",1,838672,5,1,838672
A,4,4_13409231,"KOSZAROWA (Szpital)",1,838672,5,1,838672
A,4,4_13409233,"KOSZAROWA (Szpital)",1,838672,5,1,838672
A,4,4_13408954,"KRZYKI",0,838673,23,1,838673
A,4,4_13409040,"KRZYKI",0,838673,22,1,838673
A,4,4_13409160,"KRZYKI",0,838673,1,2,838673
A,4,4_13409162,"KRZYKI",0,838673,1,2,838673
A,4,4_13409164,"KRZYKI",0,838673,1,2,838673
A,4,4_13409166,"KRZYKI",0,838673,1,2,838673
A,4,4_13409168,"KRZYKI",0,838673,1,2,838673
A,4,4_13409170,"KRZYKI",0,838673,1,2,838673
A,4,4_13409172,"KRZYKI",0,838673,1,2,838673
A,4,4_13409176,"KRZYKI",0,838673,2,1,838673
A,4,4_13409178,"KRZYKI",0,838673,2,1,838673
A,4,4_13409180,"KRZYKI",0,838673,2,1,838673
A,4,4_13409182,"KRZYKI",0,838673,2,1,838673
A,4,4_13409184,"KRZYKI",0,838673,2,1,838673
A,4,4_13409186,"KRZYKI",0,838673,2,1,838673
A,4,4_13409191,"KRZYKI",0,838673,3,1,838673
A,4,4_13409193,"KRZYKI",0,838673,3,1,838673
A,4,4_13409195,"KRZYKI",0,838673,3,1,838673
A,4,4_13409197,"KRZYKI",0,838673,3,1,838673
A,4,4_13409199,"KRZYKI",0,838673,3,1,838673
A,4,4_13409201,"KRZYKI",0,838673,3,1,838673
A,4,4_13409206,"KRZYKI",0,838673,4,1,838673
A,4,4_13409208,"KRZYKI",0,838673,4,1,838673
A,4,4_13409210,"KRZYKI",0,838673,4,1,838673
A,4,4_13409212,"KRZYKI",0,838673,4,1,838673
A,4,4_13409214,"KRZYKI",0,838673,4,1,838673
A,4,4_13409216,"KRZYKI",0,838673,4,1,838673
A,4,4_13409218,"KRZYKI",0,838673,4,1,838673
A,4,4_13409222,"KRZYKI",0,838673,5,1,838673
A,4,4_13409224,"KRZYKI",0,838673,5,1,838673
A,4,4_13409226,"KRZYKI",0,838673,5,1,838673
A,4,4_13409228,"KRZYKI",0,838673,5,1,838673
A,4,4_13409230,"KRZYKI",0,838673,5,1,838673
A,4,4_13409232,"KRZYKI",0,838673,5,1,838673
A,4,4_13409002,"KRZYKI",0,838708,21,1,838708
A,4,4_13408955,"SOŁTYSOWICE",1,838710,23,1,838710
A,4,4_13409219,"Zajezdnia Obornicka",1,838712,4,1,838712
A,4,4_13409158,"KRZYKI",0,838713,1,2,838713
A,4,4_13409189,"KRZYKI",0,838713,3,1,838713
A,4,4_13409204,"KRZYKI",0,838713,4,1,838713
A,4,4_13409220,"KRZYKI",0,838713,5,1,838713
A,4,4_13408953,"KOSZAROWA (Szpital)",1,839078,23,1,839078
